[2017-10-23 16:51:12,248] - logger.py] - INFO: ------用户名密码为空：start!---------
[2017-10-23 16:51:13,884] - logger.py] - INFO: ------用户名密码为空：stop!---------
[2017-10-23 16:51:13,885] - logger.py] - INFO: ------用户名为空，密码正确：start!---------
[2017-10-23 16:51:14,288] - logger.py] - INFO: ------用户名为空，密码正确：stop!---------
[2017-10-23 16:51:14,289] - logger.py] - INFO: ------用户名正确，密码为空：start!---------
[2017-10-23 16:51:14,806] - logger.py] - INFO: ------用户名正确，密码为空：stop!---------
[2017-10-23 16:51:14,807] - logger.py] - INFO: ------用户名密码为大写：start!---------
[2017-10-23 16:51:16,412] - logger.py] - INFO: ------用户名密码为大写：stop!---------
[2017-10-23 16:51:16,413] - logger.py] - INFO: ------用户名密码正确：start!---------
[2017-10-23 16:51:18,483] - logger.py] - INFO: ------用户名密码正确：stop!---------
[2017-10-23 16:51:18,484] - logger.py] - INFO: ------退出登录：start!---------
[2017-10-23 16:53:53,695] - logger.py] - INFO: ------用户名密码为空：start!---------
[2017-10-23 16:53:54,622] - logger.py] - INFO: ------用户名密码为空：stop!---------
[2017-10-23 16:53:54,623] - logger.py] - INFO: ------用户名为空，密码正确：start!---------
[2017-10-23 16:53:55,715] - logger.py] - INFO: ------用户名为空，密码正确：stop!---------
[2017-10-23 16:53:55,716] - logger.py] - INFO: ------用户名正确，密码为空：start!---------
[2017-10-23 16:53:56,071] - logger.py] - INFO: ------用户名正确，密码为空：stop!---------
[2017-10-23 16:53:56,071] - logger.py] - INFO: ------用户名密码为大写：start!---------
[2017-10-23 16:53:57,874] - logger.py] - INFO: ------用户名密码为大写：stop!---------
[2017-10-23 16:53:57,875] - logger.py] - INFO: ------用户名密码正确：start!---------
[2017-10-23 16:54:00,943] - logger.py] - INFO: ------用户名密码正确：stop!---------
[2017-10-23 16:54:00,943] - logger.py] - INFO: ------退出登录：start!---------
[2017-10-23 16:54:02,126] - logger.py] - INFO: ------退出登录：stop!---------
[2017-10-23 16:57:49,471] - logger.py] - INFO: ------用户名密码为空：start!---------
[2017-10-23 16:57:50,313] - logger.py] - INFO: ------用户名密码为空：stop!---------
[2017-10-23 16:57:50,313] - logger.py] - INFO: ------用户名为空，密码正确：start!---------
[2017-10-23 16:57:51,282] - logger.py] - INFO: ------用户名为空，密码正确：stop!---------
[2017-10-23 16:57:51,282] - logger.py] - INFO: ------用户名正确，密码为空：start!---------
[2017-10-23 16:57:51,776] - logger.py] - INFO: ------用户名正确，密码为空：stop!---------
[2017-10-23 16:57:51,776] - logger.py] - INFO: ------用户名密码为大写：start!---------
[2017-10-23 16:57:53,201] - logger.py] - INFO: ------用户名密码为大写：stop!---------
[2017-10-23 16:57:53,202] - logger.py] - INFO: ------用户名密码正确：start!---------
[2017-10-23 16:57:54,953] - logger.py] - INFO: ------用户名密码正确：stop!---------
[2017-10-23 16:57:54,954] - logger.py] - INFO: ------退出登录：start!---------
[2017-10-23 16:57:55,908] - logger.py] - INFO: ------退出登录：stop!---------
