[2017-10-19 14:38:53,585] - logger.py] - INFO: ------用户名密码为空：start!---------
[2017-10-19 14:38:55,434] - logger.py] - INFO: ------用户名密码为空：stop!---------
[2017-10-19 14:38:55,437] - logger.py] - INFO: ------用户名为空，密码正确：start!---------
[2017-10-19 14:38:56,345] - logger.py] - INFO: ------用户名为空，密码正确：stop!---------
[2017-10-19 14:38:56,346] - logger.py] - INFO: ------用户名正确，密码为空：start!---------
[2017-10-19 14:38:56,926] - logger.py] - INFO: ------用户名正确，密码为空：stop!---------
[2017-10-19 14:38:56,930] - logger.py] - INFO: ------用户名密码为大写：start!---------
[2017-10-19 14:38:58,850] - logger.py] - INFO: ------用户名密码为大写：stop!---------
[2017-10-19 14:38:58,853] - logger.py] - INFO: ------用户名密码正确：start!---------
[2017-10-19 14:39:00,618] - logger.py] - INFO: ------退出登录：start!---------
